Date created,Year,MARYLAND,Allegany County,Anne Arundel County,Baltimore City,Baltimore County,Calvert County,Caroline County,Carroll County,Cecil County,Charles County,Dorchester County,Frederick County,Garrett County,Harford County,Howard County,Kent County,Montgomery County,Prince George's County,Queen Anne's County,Somerset County,St. Mary's County,Talbot County,Washington County,Wicomico County,Worcester County
2018-08-03T00:00:00.000,2000,74226,794,6790,9641,9396,1024,407,1897,1138,1746,328,2906,333,2954,3563,203,13055,12423,500,273,1215,369,1601,1174,496
2018-08-03T00:00:00.000,2001,73152,708,6893,9100,9056,955,389,1884,1178,1747,336,2897,328,2895,3602,155,13146,12269,470,244,1266,355,1622,1136,521
2018-08-03T00:00:00.000,2002,73250,712,6785,9046,8997,1012,385,1898,1158,1753,308,3008,300,2901,3509,157,13154,12403,532,259,1337,334,1691,1156,455
2018-08-03T00:00:00.000,2003,74865,675,6913,9057,9344,1057,419,1955,1219,1889,348,3093,342,2905,3569,167,13529,12591,501,259,1352,341,1689,1182,469
2018-08-03T00:00:00.000,2004,74500,641,6767,9183,9448,997,465,1990,1211,1820,365,2954,316,2988,3470,202,13546,12205,509,266,1449,388,1705,1166,449
2018-08-03T00:00:00.000,2005,74880,648,6751,9179,9712,1001,428,1926,1217,1864,325,3030,314,2938,3314,181,13507,12545,520,265,1389,363,1756,1212,495
2018-08-03T00:00:00.000,2006,77430,710,7102,9757,9947,1008,477,1881,1356,1953,406,3100,297,3028,3377,189,13807,12685,516,279,1492,357,1907,1333,466
2018-08-03T00:00:00.000,2007,78057,684,7115,9875,10151,978,467,1861,1323,1980,412,3089,315,3025,3496,178,13843,12802,557,250,1473,368,1976,1339,500
2018-08-03T00:00:00.000,2008,77268,712,7156,9911,10208,954,499,1749,1278,1919,451,2971,277,2983,3417,219,13681,12569,532,277,1450,387,1825,1364,479
2018-08-03T00:00:00.000,2009,74999,740,7103,9504,9910,924,445,1572,1185,1808,411,2891,306,2849,3314,188,13493,12252,501,247,1479,351,1754,1312,460
2021-01-20T00:00:00.000,2010,73783,735,7075,8945,9885,902,432,1607,1183,1801,381,2849,278,2708,3376,166,13273,12197,487,271,1444,357,1766,1247,418
2022-09-28T00:00:00.000,2011,73558,703,6951,8949,9951,933,418,1549,1154,1843,373,2852,271,2776,3315,163,13192,12137,483,1484,244,356,1739,1284,438
2022-09-28T00:00:00.000,2012,72718,674,6920,9008,9665,908,398,1588,1165,1916,361,2723,301,2613,3391,183,13031,12014,447,1389,274,317,1742,1228,462
2022-09-28T00:00:00.000,2013,72369,676,6770,9008,9538,953,379,1579,1101,1839,403,2704,293,2654,3452,183,13112,11948,438,1381,279,331,1728,1198,422
2022-09-28T00:00:00.000,2014,72748,709,6873,8741,9851,908,366,1571,1058,1812,400,2785,288,2658,3456,164,13161,12054,476,1390,261,346,1770,1213,437
2022-09-28T00:00:00.000,2015,74145,635,6962,8928,10070,880,412,1659,1016,1903,382,2829,285,2820,3645,159,13177,12496,437,1512,247,314,1739,1199,439
2022-09-28T00:00:00.000,2016,73498,658,7072,8562,9874,923,368,1700,1168,1825,365,2843,310,2675,3597,160,13082,12289,509,1456,265,337,1719,1313,428
2022-09-28T00:00:00.000,2017,71770,643,6845,8266,9701,927,383,1639,1102,1832,358,2811,288,2607,3519,138,12799,12309,462,1322,242,325,1619,1210,423
2022-09-28T00:00:00.000,2018,71695,653,6850,7796,9871,888,390,1709,1165,1800,367,2831,276,2634,3431,156,12663,12385,501,1382,238,355,1680,1260,414
2022-09-28T00:00:00.000,2019,70804,649,6859,7678,9746,891,445,1708,1165,1922,356,2939,264,2716,3428,150,12184,11971,505,1347,211,325,1683,1269,393
2022-09-28T00:00:00.000,2020,69753,650,6775,7468,9563,888,425,1713,1152,1847,355,2994,262,2659,3370,147,11964,11802,500,1344,223,323,1667,1253,409
2022-09-28T00:00:00.000,2021,66906,609,6484,7305,9250,885,376,1579,1137,1832,327,2783,253,2582,3136,164,11367,11328,488,1337,216,312,1555,1327,274
